Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes,Release Year,Profit,ROI
The Land Girls,146083.0,146083.0,20331557.5,8000000.0,1998-06-12,r,107.0,gramercy,unknown,unknown,unknown,unknown,55.0,6.1,1071.0,1998.0,-7853917.0,-98.1739625
"First Love, Last Rites",10876.0,10876.0,20331557.5,300000.0,1998-08-07,r,107.0,strand,unknown,drama,unknown,unknown,55.0,6.9,207.0,1998.0,-289124.0,-96.37466666666667
I Married a Strange Person,203134.0,203134.0,20331557.5,250000.0,1998-08-28,unknown,107.0,lionsgate,unknown,comedy,unknown,unknown,55.0,6.8,865.0,1998.0,-46866.0,-18.746399999999998
Let's Talk About Sex,373615.0,373615.0,20331557.5,300000.0,1998-09-11,unknown,107.0,fine line,unknown,comedy,unknown,unknown,13.0,6.4,15106.0,1998.0,73615.0,24.538333333333334
Slam,1009819.0,1087521.0,20331557.5,1000000.0,1998-10-09,r,107.0,trimark,original screenplay,drama,contemporary fiction,unknown,62.0,3.4,165.0,1998.0,87521.0,8.7521
Mississippi Mermaid,24551.0,2624551.0,20331557.5,1600000.0,1999-01-15,unknown,107.0,mgm,unknown,unknown,unknown,unknown,55.0,6.4,15106.0,1999.0,1024551.0,64.0344375
Following,44705.0,44705.0,20331557.5,6000.0,1999-04-04,r,107.0,zeitgeist,unknown,unknown,unknown,christopher nolan,55.0,7.7,15133.0,1999.0,38705.0,645.0833333333334
Foolish,6026908.0,6026908.0,20331557.5,1600000.0,1999-04-09,r,107.0,artisan,original screenplay,comedy,contemporary fiction,unknown,55.0,3.8,353.0,1999.0,4426908.0,276.68175
Pirates,1641825.0,6341825.0,20331557.5,40000000.0,1986-07-01,r,107.0,unknown,unknown,unknown,unknown,roman polanski,25.0,5.8,3275.0,1986.0,-33658175.0,-84.1454375
Duel in the Sun,20400000.0,20400000.0,20331557.5,6000000.0,2046-12-31,unknown,107.0,unknown,unknown,unknown,unknown,unknown,86.0,7.0,2906.0,2046.0,14400000.0,240.0
Tom Jones,37600000.0,37600000.0,20331557.5,1000000.0,2063-10-07,unknown,107.0,unknown,unknown,unknown,unknown,unknown,81.0,7.0,4035.0,2063.0,36600000.0,3660.0
Oliver!,37402877.0,37402877.0,20331557.5,10000000.0,2068-12-11,unknown,107.0,sony pictures,unknown,musical,unknown,unknown,84.0,7.5,9111.0,2068.0,27402877.0,274.02877
To Kill A Mockingbird,13129846.0,13129846.0,20331557.5,2000000.0,2062-12-25,unknown,107.0,universal,unknown,unknown,unknown,unknown,97.0,8.4,82786.0,2062.0,11129846.0,556.4923
"Tora, Tora, Tora",29548291.0,29548291.0,20331557.5,25000000.0,2070-09-23,unknown,107.0,unknown,unknown,unknown,unknown,richard fleischer,55.0,6.4,15106.0,2070.0,4548291.0,18.193164
Hollywood Shuffle,5228617.0,5228617.0,20331557.5,100000.0,1987-03-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,87.0,6.8,1532.0,1987.0,5128617.0,5128.617
Over the Hill to the Poorhouse,3000000.0,3000000.0,20331557.5,100000.0,2020-09-17,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,6.4,15106.0,2020.0,2900000.0,2900.0
Wilson,2000000.0,2000000.0,20331557.5,5200000.0,2044-08-01,unknown,107.0,unknown,unknown,unknown,unknown,unknown,55.0,7.0,451.0,2044.0,-3200000.0,-61.53846153846154
Darling Lili,5000000.0,5000000.0,20331557.5,22000000.0,2070-01-01,unknown,107.0,unknown,unknown,unknown,unknown,blake edwards,55.0,6.1,858.0,2070.0,-17000000.0,-77.27272727272727
12 Angry Men,0.0,0.0,20331557.5,340000.0,2057-04-13,unknown,107.0,united artists,original screenplay,drama,unknown,sidney lumet,55.0,8.9,119101.0,2057.0,-340000.0,-100.0
Twelve Monkeys,57141459.0,168841459.0,20331557.5,29000000.0,1995-12-27,r,107.0,universal,based on short film,drama,science fiction,terry gilliam,55.0,8.1,169858.0,1995.0,139841459.0,482.2119275862069
1776,0.0,0.0,20331557.5,4000000.0,2072-11-09,pg,107.0,sony/columbia,based on play,drama,historical fiction,unknown,57.0,7.0,4099.0,2072.0,-4000000.0,-100.0
1941,34175000.0,94875000.0,20331557.5,32000000.0,1979-12-14,unknown,107.0,universal,original screenplay,comedy,historical fiction,steven spielberg,33.0,5.6,13364.0,1979.0,62875000.0,196.484375
Chacun sa nuit,18435.0,18435.0,20331557.5,1900000.0,2007-06-29,,107.0,strand,original screenplay,thriller/suspense,unknown,unknown,55.0,6.3,365.0,2007.0,-1881565.0,-99.02973684210527
2001: A Space Odyssey,56700000.0,68700000.0,20331557.5,10500000.0,2068-04-02,unknown,107.0,unknown,original screenplay,unknown,science fiction,stanley kubrick,96.0,8.4,160342.0,2068.0,58200000.0,554.2857142857142
"20,000 Leagues Under the Sea",28200000.0,28200000.0,20331557.5,5000000.0,2054-12-23,unknown,107.0,walt disney pictures,based on book/short story,adventure,unknown,richard fleischer,92.0,6.4,15106.0,2054.0,23200000.0,463.99999999999994
"20,000 Leagues Under the Sea",8000000.0,8000000.0,20331557.5,200000.0,2016-12-24,unknown,107.0,unknown,based on book/short story,adventure,unknown,unknown,55.0,6.4,15106.0,2016.0,7800000.0,3900.0
24 7: Twenty Four Seven,72544.0,72544.0,20331557.5,2000000.0,1998-04-15,r,107.0,october films,original screenplay,comedy,unknown,shane meadows,55.0,6.9,1417.0,1998.0,-1927456.0,-96.3728
Twin Falls Idaho,985341.0,1027228.0,20331557.5,500000.0,1999-07-30,r,107.0,sony pictures classics,original screenplay,drama,contemporary fiction,michael polish,77.0,7.1,2810.0,1999.0,527228.0,105.44560000000001
Three Kingdoms: Resurrection of the Dragon,0.0,22139590.0,20331557.5,20000000.0,2008-04-03,r,107.0,unknown,based on book/short story,action,historical fiction,unknown,55.0,6.4,15106.0,2008.0,2139590.0,10.69795
Forty Shades of Blue,75828.0,172569.0,20331557.5,1500000.0,2005-09-28,r,107.0,vitagraph films,original screenplay,drama,unknown,unknown,55.0,6.0,873.0,2005.0,-1327431.0,-88.4954
42nd Street,2300000.0,2300000.0,20331557.5,439000.0,2033-03-09,unknown,107.0,warner bros.,based on book/short story,musical,unknown,unknown,95.0,7.7,4263.0,2033.0,1861000.0,423.9179954441913
